"D.PersonID","D.OrderHeaderID","H.ID","DeviceID","H.CreationDatetime","H.H.LastEditionDatetime","D.WorkspaceLocation","user_visit","H.NbDiners","nb_visits","avg_ticketU","Date","pch_freq"
"10071",1103,1103,"2","2016-09-22 11:05:36.827","2016-09-22 11:05:36.827","NULL",0,1,1,16,2016-09-22,0
"10072",1104,1104,"8","2016-09-22 11:18:43.943","2016-09-22 11:18:43.943","NULL",0,2,1,17,2016-09-22,0
"10073",1104,1104,"8","2016-09-22 11:18:43.943","2016-09-22 11:18:43.943","NULL",0,2,1,19,2016-09-22,0
"10074",1105,1105,"16","2016-09-22 11:47:40.980","2016-09-22 11:47:40.980","NULL",0,2,1,13,2016-09-22,0
"10075",1105,1105,"16","2016-09-22 11:47:40.980","2016-09-22 11:47:40.980","NULL",0,2,1,21.5,2016-09-22,0
"10076",1106,1106,"5","2016-09-22 17:00:08.797","2016-09-22 17:00:08.797","NULL",0,3,1,21.5,2016-09-22,0
"10077",1110,1110,"5","2016-09-22 18:29:33.890","2016-09-22 18:29:33.890","NULL",1,1,2,24.15,2016-09-22,0
"10077",1106,1106,"5","2016-09-22 17:00:08.797","2016-09-22 17:00:08.797","NULL",1,3,2,24.15,2016-09-22,0
"10078",1106,1106,"5","2016-09-22 17:00:08.797","2016-09-22 17:00:08.797","NULL",0,3,1,16,2016-09-22,0
"10081",1108,1108,"4","2016-09-22 18:27:59.707","2016-09-22 18:27:59.707","NULL",0,2,1,20,2016-09-22,0
"10082",1108,1108,"4","2016-09-22 18:27:59.707","2016-09-22 18:27:59.707","NULL",0,2,1,19.5,2016-09-22,0
"10083",1111,1111,"11","2016-09-22 18:32:50.453","2016-09-22 18:32:50.453","NULL",0,3,1,19,2016-09-22,0
"10084",1111,1111,"11","2016-09-22 18:32:50.453","2016-09-22 18:32:50.453","NULL",0,3,1,19,2016-09-22,0
"10085",1111,1111,"11","2016-09-22 18:32:50.453","2016-09-22 18:32:50.453","NULL",0,3,1,19,2016-09-22,0
"10086",1109,1109,"3","2016-09-22 18:28:45.817","2016-09-22 18:28:45.817","NULL",0,4,1,13,2016-09-22,0
"10087",1109,1109,"3","2016-09-22 18:28:45.817","2016-09-22 18:28:45.817","NULL",0,4,1,14.5,2016-09-22,0
"10088",1109,1109,"3","2016-09-22 18:28:45.817","2016-09-22 18:28:45.817","NULL",0,4,1,14.5,2016-09-22,0
"10089",1109,1109,"3","2016-09-22 18:28:45.817","2016-09-22 18:28:45.817","NULL",0,4,1,14.5,2016-09-22,0
"10090",1112,1112,"9","2016-09-22 19:02:50.263","2016-09-22 19:02:50.263","NULL",1,2,2,10.85,2016-09-22,0
"10090",1107,1107,"9","2016-09-22 18:27:40.810","2016-09-22 18:27:40.810","NULL",1,2,2,10.85,2016-09-22,0
"10091",1112,1112,"9","2016-09-22 19:02:50.263","2016-09-22 19:02:50.263","NULL",1,2,2,10.35,2016-09-22,0
"10091",1107,1107,"9","2016-09-22 18:27:40.810","2016-09-22 18:27:40.810","NULL",1,2,2,10.35,2016-09-22,0
"10095",1113,1113,"8","2016-09-22 19:06:23.540","2016-09-22 19:06:23.540","NULL",0,2,1,14.5,2016-09-22,0
"10096",1113,1113,"8","2016-09-22 19:06:23.540","2016-09-22 19:06:23.540","NULL",0,2,1,16,2016-09-22,0
"10097",1114,1114,"3","2016-09-22 20:09:00.447","2016-09-22 20:09:00.447","NULL",0,3,1,20.8,2016-09-22,0
"10098",1114,1114,"3","2016-09-22 20:09:00.447","2016-09-22 20:09:00.447","NULL",0,3,1,20.8,2016-09-22,0
"10099",1114,1114,"3","2016-09-22 20:09:00.447","2016-09-22 20:09:00.447","NULL",1,3,2,12,2016-09-22,0
"10099",1115,1115,"3","2016-09-22 20:37:15.167","2016-09-22 20:37:15.167","NULL",1,1,2,12,2016-09-22,0
"10103",1116,1116,"9","2016-09-23 10:03:37.057","2016-09-23 10:03:37.057","NULL",0,2,1,15.5,2016-09-23,0
"10104",1116,1116,"9","2016-09-23 10:03:37.057","2016-09-23 10:03:37.057","NULL",0,2,1,16,2016-09-23,0
"10105",1117,1117,"4","2016-09-23 10:17:19.233","2016-09-23 10:17:19.233","NULL",0,2,1,20.5,2016-09-23,0
"10106",1117,1117,"4","2016-09-23 10:17:19.233","2016-09-23 10:17:19.233","NULL",0,2,1,22.5,2016-09-23,0
"10109",1118,1118,"11","2016-09-23 10:47:24.137","2016-09-23 10:47:24.137","NULL",1,2,2,36,2016-09-23,0
"10109",1119,1119,"11","2016-09-23 11:33:02.603","2016-09-23 11:33:02.603","NULL",1,1,2,36,2016-09-23,0
"10110",1118,1118,"11","2016-09-23 10:47:24.137","2016-09-23 10:47:24.137","NULL",0,2,1,32.5,2016-09-23,0
"10111",1120,1120,"2","2016-09-23 13:29:39.580","2016-09-23 13:29:39.580","NULL",0,1,1,27,2016-09-23,0
"10115",1121,1121,"9","2016-09-23 17:45:52.477","2016-09-23 17:45:52.477","NULL",0,2,1,16.3,2016-09-23,0
"10116",1121,1121,"9","2016-09-23 17:45:52.477","2016-09-23 17:45:52.477","NULL",0,2,1,14.5,2016-09-23,0
"10118",1122,1122,"8","2016-09-23 18:37:53.497","2016-09-23 18:37:53.497","NULL",0,2,1,25.8,2016-09-23,0
"10119",1122,1122,"8","2016-09-23 18:37:53.497","2016-09-23 18:37:53.497","NULL",0,2,1,14,2016-09-23,0
"10121",1123,1123,"11","2016-09-23 18:41:44.443","2016-09-23 18:41:44.443","NULL",0,2,1,30,2016-09-23,0
"10122",1123,1123,"11","2016-09-23 18:41:44.443","2016-09-23 18:41:44.443","NULL",0,2,1,21,2016-09-23,0
"10124",1124,1124,"3","2016-09-23 18:58:20.107","2016-09-23 18:58:20.107","NULL",0,4,1,11,2016-09-23,0
"10125",1124,1124,"3","2016-09-23 18:58:20.107","2016-09-23 18:58:20.107","NULL",0,4,1,11,2016-09-23,0
"10126",1124,1124,"3","2016-09-23 18:58:20.107","2016-09-23 18:58:20.107","NULL",0,4,1,22,2016-09-23,0
"10127",1124,1124,"3","2016-09-23 18:58:20.107","2016-09-23 18:58:20.107","NULL",0,4,1,26.5,2016-09-23,0
"10131",1125,1125,"4","2016-09-24 10:24:24.383","2016-09-24 10:24:24.383","NULL",0,2,1,21.7,2016-09-24,0
"10132",1125,1125,"4","2016-09-24 10:24:24.383","2016-09-24 10:24:24.383","NULL",0,2,1,21,2016-09-24,0
"10133",1126,1126,"9","2016-09-24 10:44:14.427","2016-09-24 10:44:14.427","NULL",0,2,1,16,2016-09-24,0
"10134",1126,1126,"9","2016-09-24 10:44:14.427","2016-09-24 10:44:14.427","NULL",0,2,1,16,2016-09-24,0
"10135",1127,1127,"5","2016-09-24 10:57:39.980","2016-09-24 10:57:39.980","NULL",0,3,1,20.5,2016-09-24,0
"10136",1127,1127,"5","2016-09-24 10:57:39.980","2016-09-24 10:57:39.980","NULL",0,3,1,7.5,2016-09-24,0
"10137",1127,1127,"5","2016-09-24 10:57:39.980","2016-09-24 10:57:39.980","NULL",0,3,1,16.5,2016-09-24,0
"10138",1128,1128,"3","2016-09-24 11:00:11.907","2016-09-24 11:00:11.907","NULL",0,3,1,22.5,2016-09-24,0
"10139",1128,1128,"3","2016-09-24 11:00:11.907","2016-09-24 11:00:11.907","NULL",0,3,1,17,2016-09-24,0
"10140",1128,1128,"3","2016-09-24 11:00:11.907","2016-09-24 11:00:11.907","NULL",0,3,1,21,2016-09-24,0
"10144",1129,1129,"11","2016-09-24 11:43:45.053","2016-09-24 11:43:45.053","NULL",0,3,1,16.2,2016-09-24,0
"10145",1129,1129,"11","2016-09-24 11:43:45.053","2016-09-24 11:43:45.053","NULL",0,3,1,16.7,2016-09-24,0
"10146",1129,1129,"11","2016-09-24 11:43:45.053","2016-09-24 11:43:45.053","NULL",0,3,1,17.7,2016-09-24,0
"10147",1130,1130,"2","2016-09-24 12:21:57.217","2016-09-24 12:21:57.217","NULL",0,2,1,23,2016-09-24,0
"10148",1130,1130,"2","2016-09-24 12:21:57.217","2016-09-24 12:21:57.217","NULL",0,2,1,23,2016-09-24,0
"10149",1131,1131,"2","2016-09-24 17:53:47.040","2016-09-24 17:53:47.040","NULL",0,2,1,20.5,2016-09-24,0
"10150",1131,1131,"2","2016-09-24 17:53:47.040","2016-09-24 17:53:47.040","NULL",0,2,1,22.3,2016-09-24,0
"10151",1132,1132,"4","2016-09-24 18:09:41.253","2016-09-24 18:09:41.253","NULL",0,2,1,20.5,2016-09-24,0
"10152",1132,1132,"4","2016-09-24 18:09:41.253","2016-09-24 18:09:41.253","NULL",0,2,1,20.5,2016-09-24,0
"10153",1133,1133,"9","2016-09-24 18:15:58.897","2016-09-24 18:15:58.897","NULL",0,2,1,17,2016-09-24,0
"10154",1133,1133,"9","2016-09-24 18:15:58.897","2016-09-24 18:15:58.897","NULL",0,2,1,44.5,2016-09-24,0
"10156",1134,1134,"8","2016-09-24 18:41:05.457","2016-09-24 18:41:05.457","NULL",0,2,1,19.5,2016-09-24,0
"10157",1134,1134,"8","2016-09-24 18:41:05.457","2016-09-24 18:41:05.457","NULL",0,2,1,33.5,2016-09-24,0
"10158",1135,1135,"11","2016-09-24 18:41:24.110","2016-09-24 18:41:24.110","NULL",0,4,1,13,2016-09-24,0
"10159",1135,1135,"11","2016-09-24 18:41:24.110","2016-09-24 18:41:24.110","NULL",0,4,1,10,2016-09-24,0
"10160",1135,1135,"11","2016-09-24 18:41:24.110","2016-09-24 18:41:24.110","NULL",0,4,1,10,2016-09-24,0
"10161",1135,1135,"11","2016-09-24 18:41:24.110","2016-09-24 18:41:24.110","NULL",0,4,1,19,2016-09-24,0
"10164",1136,1136,"3","2016-09-25 17:49:29.170","2016-09-25 17:49:29.170","NULL",0,4,1,30.5,2016-09-25,0
"10165",1136,1136,"3","2016-09-25 17:49:29.170","2016-09-25 17:49:29.170","NULL",0,4,1,29.5,2016-09-25,0
"10166",1136,1136,"3","2016-09-25 17:49:29.170","2016-09-25 17:49:29.170","NULL",0,4,1,23.7,2016-09-25,0
"10167",1137,1137,"3","2016-09-25 18:53:24.617","2016-09-25 18:53:24.617","NULL",1,1,2,18.25,2016-09-25,0
"10167",1136,1136,"3","2016-09-25 17:49:29.170","2016-09-25 17:49:29.170","NULL",1,4,2,18.25,2016-09-25,0
"10168",1138,1138,"8","2016-09-25 19:05:14.010","2016-09-25 19:05:14.010","NULL",0,1,1,21,2016-09-25,0
"10170",1139,1139,"2","2016-09-26 10:11:17.270","2016-09-26 10:11:17.270","NULL",0,2,1,30,2016-09-26,0
"10171",1139,1139,"2","2016-09-26 10:11:17.270","2016-09-26 10:11:17.270","NULL",0,2,1,9,2016-09-26,0
"10172",1140,1140,"9","2016-09-26 10:41:16.557","2016-09-26 10:41:16.557","NULL",0,2,1,21.5,2016-09-26,0
"10173",1140,1140,"9","2016-09-26 10:41:16.557","2016-09-26 10:41:16.557","NULL",0,2,1,23,2016-09-26,0
"10174",1141,1141,"11","2016-09-26 11:05:46.647","2016-09-26 11:05:46.647","NULL",0,2,1,16,2016-09-26,0
"10175",1141,1141,"11","2016-09-26 11:05:46.647","2016-09-26 11:05:46.647","NULL",0,2,1,37,2016-09-26,0
"10181",1142,1142,"3","2016-09-26 19:12:54.333","2016-09-26 19:12:54.333","NULL",0,3,1,14.5,2016-09-26,0
"10182",1142,1142,"3","2016-09-26 19:12:54.333","2016-09-26 19:12:54.333","NULL",0,3,1,31,2016-09-26,0
"10183",1142,1142,"3","2016-09-26 19:12:54.333","2016-09-26 19:12:54.333","NULL",0,3,1,22.2,2016-09-26,0
"10185",1143,1143,"3","2016-09-27 10:23:37.293","2016-09-27 10:23:37.293","NULL",0,2,1,18.5,2016-09-27,0
"10186",1143,1143,"3","2016-09-27 10:23:37.293","2016-09-27 10:23:37.293","NULL",0,2,1,18,2016-09-27,0
"10188",1144,1144,"11","2016-09-27 11:14:11.277","2016-09-27 11:14:11.277","NULL",0,2,1,15.5,2016-09-27,0
"10189",1144,1144,"11","2016-09-27 11:14:11.277","2016-09-27 11:14:11.277","NULL",0,2,1,14.5,2016-09-27,0
"10199",1145,1145,"5","2016-09-27 17:39:29.103","2016-09-27 17:39:29.103","NULL",0,2,1,21.5,2016-09-27,0
